scene_id,dialogue,relation_high_probable_gold,relation_impossible_gold,high_probable_agreement,intimacy_gold,intimacy_agreement,formality_gold,formality_agreement,hierarchy_gold,hierarchy_agreement,age-a_gold,age-b_gold,age_diff_gold,gender-a_gold,gender-b_gold,gender_diff_gold
scene300,"[B]: [A], right? Happy to meet you.
[A]: Officially almost human again.
[A]: Officer, I saw the driver who hit me. His name was [C].
[A]: I got in last night. Right in time for English Department cocktails. The cock was mine. The tail belonged to a lovely young thing with a passion for [A].
[A]: Not easily distracted, are you?
[B]: I’m here to work.
[A]: I see.
[A]: Hey-.
[A]: Is my roommate a dick?","['Police-Victim', 'Police officer-Civilian', 'Coworkers']","['Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,disagreement,A<B,complete_agreement,['(20–35) Young adult'],"['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Cannot be determined'],['Male'],Cannot be determined
scene301,"[B]: I guess the price is right.
[A]: [B], I just got the weekly sales report, good good good! You really killed this quarter!
[A]: Keep it up you're going to be sitting in my seat by year's end. Really great, [B]. Seriously.
[B]: Who told you [C] and I were getting a divorce?
[A]: (RELIEVED) Divorce! That's it. [D] heard you crying in the bathroom. We all thought it was cancer. Thank God.
[B]: I have to go buy furniture now.
[A]: Go for it! (then, calling after) It could have been cancer, buddy!","['Supervisor-Subordinate', 'Coworkers', 'Friends', 'Acquaintances']","['Professional colleagues', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Neutral,partial_agreement,Neutral,partial_agreement,A>B,partial_agreement,['(36–59) Middle-aged adult'],['(36–59) Middle-aged adult'],A>B,['Cannot be determined'],['Male'],Cannot be determined
scene302,"[B]: Daddy. How are you?
[A]: I'm sending you something.
[B]: Really? Does it smell nice?
[A]: No. But it's sparkly.
[B]: Does it come with a receipt?
[A]: I'm having it sent to you from the store.
[B]: (toweling her hair) Why not bring it by yourself? We could have dinner.
[A]: Be a long trip. I'm in Genoa.
[B]: Let me guess. Checking out the birthplace of Christopher Columbus.
[A]: Something like that.",['Parent-Children'],"['Grandparent-Grandchildren', 'Brothers/Sisters', 'Uncle/Aunt-Niece', 'Cousins', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,disagreement,A>B,partial_agreement,['(36–59) Middle-aged adult'],"['(0–12) Child', '(20–35) Young adult']",A>B,['Male'],['Female'],Different
scene303,"[B]: It's prettier here than I thought it would be.
[A]: Yeah, I guess it's all right.
[B]: Are you all right?
[A]: That's a big question.
[B]: I hope it wasn't something I did.
[A]: Something you did?
[B]: That put you in here.
[A]: Of course not, no. (beat) Is that why you're here?
[B]: I think we need to talk about some things.
[A]: Yes, I suppose so.","['Friends', 'Romantic Interest', 'Partners', 'Friends', 'Ex-Partners', 'Acquaintances', 'Ex-Relationship']","['Strangers', 'Neighbors', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A=B,complete_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']","['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene304,"[B]: [A]?
[B]: I just wanted to say that...
[B]: Shit.
[B]: Do you want me to back that thing out of the driveway for you?
[A]: I'll be fine.
[A]: It was two times --
[B]: Three if you count my father's foot.
[A]: I did that on purpose.
[B]: I knew it.
[A]: Once I'm settled, I'll get the kids so they can see the place.","['Married', 'Dating', 'Ex-Partners', 'Divorced', 'Married', 'Friends']","['Parent-Children', 'Grandparent-Grandchildren', 'Uncle/Aunt-Niece', 'Friends with benefits', 'Strangers', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Intimate,partial_agreement,Pleasure-oriented,partial_agreement,A=B,complete_agreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']","['(20–35) Young adult', '(36–59) Middle-aged adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene305,"[B]: (big laugh) There he is l Ho ff al Hai What are the odds of that?
[A]: (laughing along with him) Ha! What are the odds?
[B]: Look, I'll be straight. We want you back, [A]. I want to tell you, it wasn't my decision to let you go. When the big guy gives the order, I gotta...
[A]: No harm no foul, [B]. I needed some time off to reassess my goals and get in touch with my true self.
[B]: You did that in a day?
[A]: Imagine what I can do with seven.
[A]: I haven't been the best father in the world.
[B]: What's that?
[A]: I curse a lot. I cheat on my taxes. My wife used to make my kids call me, when she was alive... Now, I go to strip clubs, and drink all night. But at least they're open until four. What are you doing tonight?
[B]: Oh, I'm busy doing...things.","['Supervisor-Subordinate', 'Friends', 'Old Coworkers']","['Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Cannot be determined,disagreement,Neutral,partial_agreement,A<B,disagreement,"['(20–35) Young adult', '(36–59) Middle-aged adult']","['(36–59) Middle-aged adult', '(20–35) Young adult']",Cannot be determined,['Male'],['Male'],Same
scene306,"[A]: Touch!.
[B]: Wipe that smile off your face --
[B]: [A]. I don't tolerate this kind of language. Ever. Consider this your first warning. If I find out you've used a word like this in my school again, I will make sure that it's your last. I don't operate on a `three strikes you're out system'. You get one warning from me.
[B] (CONT'D): Think very carefully before you speak.
[A]: I always do. Are we finished?
[B]: Detention tomorrow after school in Room 704. And, young lady, I don't want to see you again.
[A]: Not even in a more positive capacity? Maybe I could win a ribbon or a medal or something. I could conceivably be valedictorian. Or something.
[B]: Get out of my office now.","['Principal-Student', 'Teacher-Student/Principal-Student', 'Teacher-Student']","['Doctor-Patient', 'Landlord-Tenant', 'Lawyer-Client', 'Mentor-Mentee', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Acquaintances', 'Neighbors', 'Strangers', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,partial_agreement,Task-oriented,partial_agreement,A<B,complete_agreement,"['(0–12) Child', '(13–19) Teenager']","['(36–59) Middle-aged adult', '(60+) Seniorr']",A<B,['Female'],['Cannot be determined'],Cannot be determined
scene307,"[B]: It's not your fault.
[B]: No. It's not your fault.
[B] (CONT'D): I hope that you and [C] end up okay.
[A]: Me too. Where are you going?
[B]: Not sure yet. Away from her.
[A]: Can I come?","['Friends', 'Siblings', 'Friends', 'Romantic Interest']","['Strangers', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Intimate,partial_agreement,Pleasure-oriented,disagreement,A=B,partial_agreement,"['(13–19) Teenager', '(20–35) Young adult']","['(13–19) Teenager', '(20–35) Young adult']",Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene309,"[A]: (to person in stall) Are you okay?
[B]: (near fatally nauseous) Ohhh... I'm so sick. The mussels at lunch. You have to help me.
[A]: I'm kind of in my own private hell right now.
[B]: What's your name?
[A]: [A].
[B]: [A]... it's vitally important. Please. You have to take this to Canada.
[A]: Uh, Canada? It's sort of far away.
[B]: (struggling) In the Assembly. Give the file to Mr.[C], the Canadian representative. (GROANNN!!) Please. I can't... get up.
[A]: You want me to take this to the Canadian Representative to the United Nations?
[B]: Hurry! This is a crisis!","['Strangers', 'Coworkers']","['Acquaintances', 'Friends', 'Neighbors', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Supervisor-Subordinate relationship', 'Mentor-Mentee', 'Teacher-Student', 'Lawyer-Client', 'Doctor-Patient', 'Landlord-Tenant', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",complete_agreement,Unintimate,partial_agreement,Task-oriented,partial_agreement,A=B,partial_agreement,['(20–35) Young adult'],['(20–35) Young adult'],Cannot be determined,['Cannot be determined'],['Cannot be determined'],Cannot be determined
scene310,"[B]: Hey kid! Your friend just made himself a star.
[A]: That's great.
[B]: My attorney, Mr. [C].
[A]: Good to meet you.
[B]: What's the matter with you, kid? I haven't seen a customer so depressed since the elephant sat on that farmer's wife. (beat) Get it? ""Depressed?""
[B]: See! The big guy likes it.
[A]: I just saw the woman I'm going to marry, I know it. But then I lost her.
[B]: Tough break. Most men have to get married before they lose their wives.
[A]: (with absolute conviction) I'm going to spend the rest of my life looking for her. That or die alone.
[B]: Jesus, kid. (realizing) Let me guess. Real pretty, blonde hair, blue hat?","['Employee-Customer', 'Strangers', 'Lawyer-Client', 'Mentor-Mentee', 'Employee-Customer']","['Teacher-Student', 'Doctor-Patient', 'Landlord-Tenant', 'Parent-Children', 'Brothers/Sisters', 'Grandparent-Grandchildren', 'Cousins', 'Uncle/Aunt-Niece', 'Friends', 'Acquaintances', 'Neighbors', 'Romantic Interest', 'Dating', 'Married', 'Engaged', 'Friends with benefits', 'Affair', 'Ex-relationship', 'Coworkers', 'Professional colleagues', 'Supervisor-Subordinate relationship', 'Competitive relationship', 'Rivalry', 'Arch-enemies']",partial_agreement,Unintimate,disagreement,Pleasure-oriented,partial_agreement,A<B,partial_agreement,['(20–35) Young adult'],['(36–59) Middle-aged adult'],A<B,['Male'],['Male'],Same
